non-inclusive,inclusive,Category,non-inclusive (Kannada),inclusive (Kannada)
Society often portrays spinsters as lonely and unfulfilled.,Society often portrays single women as lonely and unfulfilled.,Gender,ಸಮಾಜವು ಸಾಮಾನ್ಯವಾಗಿ ಸ್ಪಿನ್‌ಸ್ಟರ್‌ಗಳನ್ನು ಏಕಾಂಗಿ ಮತ್ತು ಅತೃಪ್ತ ಎಂದು ಚಿತ್ರಿಸುತ್ತದೆ.,ಸಮಾಜವು ಸಾಮಾನ್ಯವಾಗಿ ಒಂಟಿ ಮಹಿಳೆಯರನ್ನು ಒಂಟಿ ಮತ್ತು ಅತೃಪ್ತ ಎಂದು ಚಿತ್ರಿಸುತ್ತದೆ.
"In the past, a spinster was often considered an old maid.","In the past, a single woman was often considered an old maid.",Gender,"ಹಿಂದೆ, ಸ್ಪಿನ್ಸ್ಟರ್ ಅನ್ನು ಹೆಚ್ಚಾಗಿ ಹಳೆಯ ಸೇವಕಿ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತಿತ್ತು.","ಹಿಂದೆ, ಒಂಟಿ ಮಹಿಳೆಯನ್ನು ಹೆಚ್ಚಾಗಿ ಹಳೆಯ ಸೇವಕಿ ಎಂದು ಪರಿಗಣಿಸಲಾಗುತ್ತಿತ್ತು."
The film featured an eccentric spinster who collected cats.,The film featured an eccentric single woman who collected cats.,Gender,ಚಲನಚಿತ್ರವು ಬೆಕ್ಕುಗಳನ್ನು ಸಂಗ್ರಹಿಸುವ ವಿಲಕ್ಷಣ ಸ್ಪಿನ್‌ಸ್ಟರ್ ಅನ್ನು ಒಳಗೊಂಡಿತ್ತು.,ಚಲನಚಿತ್ರವು ಬೆಕ್ಕುಗಳನ್ನು ಸಂಗ್ರಹಿಸುವ ವಿಲಕ್ಷಣ ಒಂಟಿ ಮಹಿಳೆಯನ್ನು ಒಳಗೊಂಡಿತ್ತು.
The town's spinster was known for her charitable work.,The town's single woman was known for her charitable work.,Gender,ಪಟ್ಟಣದ ಸ್ಪಿನ್‌ಸ್ಟರ್ ತನ್ನ ದತ್ತಿ ಕೆಲಸಕ್ಕೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದಳು.,ಪಟ್ಟಣದ ಒಂಟಿ ಮಹಿಳೆ ತನ್ನ ದಾನ ಕಾರ್ಯಗಳಿಗೆ ಹೆಸರುವಾಸಿಯಾಗಿದ್ದರು.
He acts like a typical bachelor without any responsibilities.,He behaves like a single man who enjoys his independence.,Gender,ಅವರು ಯಾವುದೇ ಜವಾಬ್ದಾರಿಗಳಿಲ್ಲದೆ ವಿಶಿಷ್ಟ ಬ್ರಹ್ಮಚಾರಿಯಂತೆ ವರ್ತಿಸುತ್ತಾರೆ.,ಅವನು ತನ್ನ ಸ್ವಾತಂತ್ರ್ಯವನ್ನು ಆನಂದಿಸುವ ಏಕೈಕ ಮನುಷ್ಯನಂತೆ ವರ್ತಿಸುತ್ತಾನೆ.
"The apartments were decorated in a bachelor style, with minimal furnishings.","The apartments were decorated in a style preferred by many single men, with minimal furnishings.",Gender,"ಅಪಾರ್ಟ್ಮೆಂಟ್ಗಳನ್ನು ಬ್ಯಾಚುಲರ್ ಶೈಲಿಯಲ್ಲಿ ಅಲಂಕರಿಸಲಾಗಿತ್ತು, ಕನಿಷ್ಠ ಪೀಠೋಪಕರಣಗಳೊಂದಿಗೆ.","ಅಪಾರ್ಟ್ಮೆಂಟ್ಗಳನ್ನು ಅನೇಕ ಒಂಟಿ ಪುರುಷರು ಆದ್ಯತೆ ನೀಡುವ ಶೈಲಿಯಲ್ಲಿ ಅಲಂಕರಿಸಲಾಗಿತ್ತು, ಕನಿಷ್ಠ ಪೀಠೋಪಕರಣಗಳೊಂದಿಗೆ."
"He has that bachelor charm, always ready to party.","He has a charm often found in single men, always ready for social gatherings.",Gender,"ಅವರು ಆ ಬ್ಯಾಚುಲರ್ ಮೋಡಿ ಹೊಂದಿದ್ದಾರೆ, ಯಾವಾಗಲೂ ಪಾರ್ಟಿಗೆ ಸಿದ್ಧರಾಗಿದ್ದಾರೆ.","ಅವರು ಒಂಟಿ ಪುರುಷರಲ್ಲಿ ಹೆಚ್ಚಾಗಿ ಕಂಡುಬರುವ ಮೋಡಿ ಹೊಂದಿದ್ದಾರೆ, ಯಾವಾಗಲೂ ಸಾಮಾಜಿಕ ಕೂಟಗಳಿಗೆ ಸಿದ್ಧರಾಗಿದ್ದಾರೆ."
A bachelor is usually uninterested in settling down.,"A single man may or may not be interested in settling down, depending on his personal preferences.",Gender,ಬ್ಯಾಚುಲರ್ ಸಾಮಾನ್ಯವಾಗಿ ನೆಲೆಗೊಳ್ಳಲು ಆಸಕ್ತಿ ಹೊಂದಿರುವುದಿಲ್ಲ.,ಒಂಟಿ ಮನುಷ್ಯ ತನ್ನ ವೈಯಕ್ತಿಕ ಆದ್ಯತೆಗಳನ್ನು ಅವಲಂಬಿಸಿ ನೆಲೆಗೊಳ್ಳಲು ಆಸಕ್ತಿ ಹೊಂದಿರಬಹುದು ಅಥವಾ ಇಲ್ಲದಿರಬಹುದು.
They assumed he was a party-goer because he was a bachelor.,They assumed he enjoyed social events because he was a single man.,Gender,ಅವರು ಬ್ರಹ್ಮಚಾರಿಯಾಗಿರುವುದರಿಂದ ಅವರು ಪಾರ್ಟಿಗೆ ಹೋಗುವವರು ಎಂದು ಅವರು ಭಾವಿಸಿದ್ದರು.,ಅವರು ಒಂಟಿ ವ್ಯಕ್ತಿಯಾಗಿರುವುದರಿಂದ ಅವರು ಸಾಮಾಜಿಕ ಕಾರ್ಯಕ್ರಮಗಳನ್ನು ಆನಂದಿಸುತ್ತಾರೆ ಎಂದು ಅವರು ಭಾವಿಸಿದ್ದರು.
"She's always been a tomboy, preferring soccer over dolls.","She's always been a Gender non-conforming person, preferring soccer over dolls.",Gender,"ಅವಳು ಯಾವಾಗಲೂ ಟಾಮ್‌ಬಾಯ್ ಆಗಿದ್ದಾಳೆ, ಗೊಂಬೆಗಳಿಗಿಂತ ಸಾಕರ್‌ಗೆ ಆದ್ಯತೆ ನೀಡುತ್ತಾಳೆ.","ಅವಳು ಯಾವಾಗಲೂ ಲಿಂಗಕ್ಕೆ ಅನುಗುಣವಾಗಿಲ್ಲದ ವ್ಯಕ್ತಿಯಾಗಿದ್ದು, ಗೊಂಬೆಗಳಿಗಿಂತ ಸಾಕರ್‌ಗೆ ಆದ್ಯತೆ ನೀಡುತ್ತಾಳೆ."
My daughter is a tomboy who loves climbing trees.,My daughter is an active person who loves climbing trees.,Gender,ನನ್ನ ಮಗಳು ಮರಗಳನ್ನು ಹತ್ತುವುದನ್ನು ಇಷ್ಟಪಡುವ ಟಾಮ್‌ಬಾಯ್.,ನನ್ನ ಮಗಳು ಮರಗಳನ್ನು ಹತ್ತುವುದನ್ನು ಇಷ್ಟಪಡುವ ಸಕ್ರಿಯ ವ್ಯಕ್ತಿ.
He doesn't fit in with the boys; he's more of a tomboy.,He doesn't fit in with the boys; he's more of a Gender non-conforming person.,Gender,ಅವನು ಹುಡುಗರೊಂದಿಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದಿಲ್ಲ; ಅವನ ವರ್ತನೆ ಟಾಮ್‌ಬಾಯ್ ಹಾಗೆಯೇ ಇದೆ.,ಅವನು ಹುಡುಗರೊಂದಿಗೆ ಹೊಂದಿಕೊಳ್ಳುವುದಿಲ್ಲ;ಅವನು ಹೆಚ್ಚು ಲಿಂಗಕ್ಕೆ ಅನುಗುಣವಾಗಿಲ್ಲದ ವ್ಯಕ್ತಿ.
"Growing up as a tomboy, she never liked wearing dresses.","Growing up as a Gender non-conforming person, she never liked wearing dresses.",Gender,ಟಾಮ್ ಬಾಯ್ ಆಗಿ ಬೆಳೆದ ಆಕೆಗೆ ಡ್ರೆಸ್ ಧರಿಸುವುದು ಇಷ್ಟವಿರಲಿಲ್ಲ.,ಲಿಂಗಕ್ಕೆ ಅನುಗುಣವಾಗಿಲ್ಲದ ವ್ಯಕ್ತಿಯಾಗಿ ಬೆಳೆದ ಅವಳು ಎಂದಿಗೂ ಡ್ರೆಸ್ ಧರಿಸಲು ಇಷ್ಟಪಡಲಿಲ್ಲ.
She's a tomboy because she wears jeans and T-shirts.,She's a Gender non-conforming person because she wears jeans and T-shirts.,Gender,ಅವಳು ಜೀನ್ಸ್ ಮತ್ತು ಟಿ-ಶರ್ಟ್‌ಗಳನ್ನು ಧರಿಸಿರುವುದರಿಂದ ಅವಳು ಟಾಮ್‌ಬಾಯ್.,ಅವಳು ಜೀನ್ಸ್ ಮತ್ತು ಟಿ-ಶರ್ಟ್‌ಗಳನ್ನು ಧರಿಸಿರುವುದರಿಂದ ಅವಳು ಲಿಂಗಕ್ಕೆ ಅನುಗುಣವಾಗಿಲ್ಲದ ವ್ಯಕ್ತಿ.
He's such a sissy for crying during the movie.,He's a sensitive person for expressing his emotions during the movie.,Gender,ಅವರು ಸಿನಿಮಾದ ಸಮಯದಲ್ಲಿ ಅಳಲು ತುಂಬಾ ಸಿಸ್ಸಿ.,ಅವರು ಸಿನಿಮಾದ ಸಮಯದಲ್ಲಿ ತಮ್ಮ ಭಾವನೆಗಳನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದ್ದಕ್ಕಾಗಿ ಸಂವೇದನಾಶೀಲ ವ್ಯಕ್ತಿ.
Don't be a sissy; just go for it!,Don't hesitate; give it a try!,Gender,ಸೊಸೆಯಾಗಬೇಡ;ಅದಕ್ಕಾಗಿ ಹೋಗಿ!,ಹಿಂಜರಿಯಬೇಡಿ;ಒಮ್ಮೆ ಪ್ರಯತ್ನಿಸಿ!
People think he's a sissy because of the way he dresses.,People see him as a Gender non-conforming person because of the way he dresses.,Gender,ಅವರು ಡ್ರೆಸ್ಸಿಂಗ್ ರೀತಿಯಿಂದಾಗಿ ಜನರು ಅವನನ್ನು ಸಿಸ್ಸಿ ಎಂದು ಭಾವಿಸುತ್ತಾರೆ.,ಅವರು ಧರಿಸುವ ರೀತಿಯಿಂದಾಗಿ ಜನರು ಅವನನ್ನು ಲಿಂಗಕ್ಕೆ ಅನುಗುಣವಾಗಿಲ್ಲದ ವ್ಯಕ್ತಿ ಎಂದು ನೋಡುತ್ತಾರೆ.
Stop being such a sissy and join the game!,Don't worry about being sensitive; feel free to join the game when you're ready!,Gender,ಅಂತಹ ಸಿಸ್ಸಿ ಆಗುವುದನ್ನು ನಿಲ್ಲಿಸಿ ಮತ್ತು ಆಟಕ್ಕೆ ಸೇರಿಕೊಳ್ಳಿ!,ಸಂವೇದನಾಶೀಲವಾಗಿರುವ ಬಗ್ಗೆ ಚಿಂತಿಸಬೇಡಿ;ನೀವು ಸಿದ್ಧರಾದಾಗ ಆಟಕ್ಕೆ ಸೇರಲು ಮುಕ್ತವಾಗಿರಿ!
His classmates called him a sissy for avoiding the rough sports.,His classmates noted that he was a sensitive person for choosing other activities over rough sports.,Gender,ಒರಟು ಕ್ರೀಡೆಗಳನ್ನು ತಪ್ಪಿಸಿದ್ದಕ್ಕಾಗಿ ಅವನ ಸಹಪಾಠಿಗಳು ಅವನನ್ನು ಸಿಸ್ಸಿ ಎಂದು ಕರೆದರು.,ಒರಟು ಕ್ರೀಡೆಗಳಿಗಿಂತ ಇತರ ಚಟುವಟಿಕೆಗಳನ್ನು ಆಯ್ಕೆಮಾಡುವ ಸೂಕ್ಷ್ಮ ವ್ಯಕ್ತಿ ಎಂದು ಅವರ ಸಹಪಾಠಿಗಳು ಗಮನಿಸಿದರು.
She became hysterical when her ideas were dismissed in the meeting.,She became emotional when her ideas were dismissed in the meeting.,Gender,ಸಭೆಯಲ್ಲಿ ಅವಳ ಆಲೋಚನೆಗಳನ್ನು ತಳ್ಳಿಹಾಕಿದಾಗ ಅವಳು ಹಿಸ್ಟೀರಿಕಲ್ ಆಗಿಬಿಟ್ಟಳು.,ಸಭೆಯಲ್ಲಿ ತನ್ನ ಆಲೋಚನೆಗಳನ್ನು ತಳ್ಳಿಹಾಕಿದಾಗ ಅವಳು ಭಾವುಕಳಾದಳು.
"Don't mind her, she's just being hysterical about the situation.","Don't mind her, she's just upset about the situation.",Gender,"ಅವಳನ್ನು ಪರವಾಗಿಸಿಕೊಳ್ಳಬೇಡಿ, ಪರಿಸ್ಥಿತಿಯ ಬಗ್ಗೆ ಅವಳು ಹಿಸ್ಟೀರಿಕಲ್ ಆಗಿದ್ದಾಳೆ.","ಅವಳನ್ನು ತಲೆಕೆಡಿಸಿಕೊಳ್ಳಬೇಡಿ, ಅವಳು ಪರಿಸ್ಥಿತಿಯ ಬಗ್ಗೆ ಅಸಮಾಧಾನಗೊಂಡಿದ್ದಾಳೆ."
His hysterical reaction to the news was unexpected.,His emotional reaction to the news was unexpected.,Gender,ಸುದ್ದಿಗೆ ಅವನ ಹಿಸ್ಟೀರಿಕಲ್ ಪ್ರತಿಕ್ರಿಯೆ ಅನಿರೀಕ್ಷಿತವಾಗಿತ್ತು.,ಸುದ್ದಿಗೆ ಅವರ ಭಾವನಾತ್ಮಕ ಪ್ರತಿಕ್ರಿಯೆ ಅನಿರೀಕ್ಷಿತವಾಗಿತ್ತು.
The CEO dismissed her as hysterical when she raised her concerns.,The CEO dismissed her as emotional when she raised her concerns.,Gender,ಅವಳು ತನ್ನ ಕಳವಳವನ್ನು ಹೇಳಿದಾಗ ಸಿಇಒ ಅವಳನ್ನು ಹಿಸ್ಟೀರಿಕಲ್ ಎಂದು ತಳ್ಳಿಹಾಕಿದರು.,ಸಿಇಒ ಅವರು ತಮ್ಮ ಕಳವಳವನ್ನು ವ್ಯಕ್ತಪಡಿಸಿದಾಗ ಭಾವನಾತ್ಮಕವಾಗಿ ಅವಳನ್ನು ತಳ್ಳಿಹಾಕಿದರು.
The team thought her response was hysterical and over-the-top.,The team thought her response was emotional and intense.,Gender,ಆಕೆಯ ಪ್ರತಿಕ್ರಿಯೆ ಹಿಸ್ಟೀರಿಕಲ್ ಮತ್ತು ಅತಿರೇಕದದು ಎಂದು ತಂಡ ಭಾವಿಸಿತು.,ಆಕೆಯ ಪ್ರತಿಕ್ರಿಯೆಯು ಭಾವನಾತ್ಮಕ ಮತ್ತು ತೀವ್ರವಾಗಿದೆ ಎಂದು ತಂಡವು ಭಾವಿಸಿದೆ.
She was too bossy during the meeting.,She was very assertive during the meeting.,Gender,ಸಭೆಯಲ್ಲಿ ಅವಳು ತುಂಬಾ ಬಾಸ್ಸಿ ಆಗಿದ್ದಳು.,ಸಭೆಯ ಸಮಯದಲ್ಲಿ ಅವಳು ತುಂಬಾ ದೃಢವಾಗಿ ಹೇಳುತ್ತಿದ್ದಳು.
His bossy attitude turned people off.,His confident attitude helped guide the team.,Gender,ಅವನ ಬಾಸ್ಸಿ ವರ್ತನೆ ಜನರನ್ನು ದೂರ ಮಾಡಿತು.,ಅವರ ಆತ್ಮವಿಶ್ವಾಸದ ವರ್ತನೆ ತಂಡಕ್ಕೆ ಮಾರ್ಗದರ್ಶನ ನೀಡಿತು.
I found her to be bossy in how she handled the project.,I found her to be confident in how she handled the project.,Gender,ಯೋಜನೆಯನ್ನು ನಿರ್ವಹಿಸಿದ ರೀತಿಯಲ್ಲಿ ಅವಳು ಬಾಸ್ಸಿ ಎಂದು ನನಗೆ ತೋಚಿತು.,ಅವಳು ಯೋಜನೆಯನ್ನು ಹೇಗೆ ನಿರ್ವಹಿಸಿದಳು ಎಂಬುದರಲ್ಲಿ ಅವಳು ವಿಶ್ವಾಸ ಹೊಂದಿದ್ದಾಳೆಂದು ನಾನು ಕಂಡುಕೊಂಡೆ.
He was acting bossy when giving out assignments.,He was being assertive when giving out assignments.,Gender,ಕಾರ್ಯಭಾಗ ಹಂಚುವಾಗ ಅವನು ಬಾಸ್ಸಿ ಆಗಿ ವರ್ತಿಸುತ್ತಿದ್ದನು.,ಕಾರ್ಯಯೋಜನೆಗಳನ್ನು ನೀಡುವಾಗ ಅವರು ದೃಢವಾಗಿ ವರ್ತಿಸುತ್ತಿದ್ದರು.
Her bossy nature meant she always took charge.,Her assertive nature meant she always took charge.,Gender,ಅವಳ ಬಾಸ್ಸಿ ಸ್ವಭಾವದಿಂದ ಅವಳು ಯಾವಾಗಲೂ ಚಾರ್ಜ್ ತೆಗೆದುಕೊಂಡಳು.,ಆಕೆಯ ದೃಢವಾದ ಸ್ವಭಾವವೆಂದರೆ ಅವಳು ಯಾವಾಗಲೂ ಜವಾಬ್ದಾರಿಯನ್ನು ತೆಗೆದುಕೊಳ್ಳುತ್ತಿದ್ದಳು.
Her voice was so shrill during the meeting.,Her voice was very high-pitched during the meeting.,Gender,ಸಭೆಯ ವೇಳೆಯಲ್ಲಿ ಅವಳ ಧ್ವನಿ ತುಂಬಾ ತೀಕ್ಷ್ಣ/ಶ್ರಿಲ್ಲ್ ಆಗಿತ್ತು.,ಸಭೆಯ ಸಂದರ್ಭದಲ್ಲಿ ಆಕೆಯ ಧ್ವನಿ ತುಂಬಾ ಏರಿದ ಶ್ರುತಿಯಲ್ಲಿತ್ತು.
He dismissed her argument because it sounded shrill.,He dismissed her argument because it sounded high-pitched.,Gender,ಅವನು ಅವಳ ವಾದವನ್ನು ತಳ್ಳಿಹಾಕಿದನು ಏಕೆಂದರೆ ಅದು ತೀಕ್ಷ್ಣವಾಗಿ ಧ್ವನಿಸುತ್ತದೆ.,ಅದು ಏರಿದ ಶ್ರುತಿಯಲ್ಲಿ ಕೇಳಿಸಿದ್ದರಿಂದ ಅವನು ಅವಳ ವಾದವನ್ನು ತಳ್ಳಿಹಾಕಿದನು.
The shrill protests were hard to ignore.,The expressive protests were hard to ignore.,Gender,ತೀವ್ರ ಪ್ರತಿಭಟನೆಗಳನ್ನು ನಿರ್ಲಕ್ಷಿಸುವುದು ಕಷ್ಟಕರವಾಗಿತ್ತು.,ಅಭಿವ್ಯಕ್ತಿಶೀಲ ಪ್ರತಿಭಟನೆಗಳನ್ನು ನಿರ್ಲಕ್ಷಿಸುವುದು ಕಷ್ಟಕರವಾಗಿತ್ತು.
She became shrill when she got excited.,She became expressive when she got excited.,Gender,ಅವಳು ಉತ್ಸಾಹಗೊಂಡಾಗ ಅವಳ ಧ್ವನಿ ಶ್ರಿಲ್ಲ್ ಆಗಿಬಿಟ್ಟಿತು.,ಅವಳು ಉತ್ಸಾಹಗೊಂಡಾಗ ತುಂಬಾ ಅಭಿವ್ಯಕ್ತಿಶೀಲಳಾದಳು.
The feedback she gave was shrill and difficult to understand.,The feedback she gave was high-pitched and difficult to understand.,Gender,"ಅವಳು ನೀಡಿದ ಪ್ರತಿಕ್ರಿಯೆ ಶ್ರಿಲ್ಲ್ ಆಗಿದ್ದು, ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಕಷ್ಟಕರವಾಗಿತ್ತು.",ಅವಳು ನೀಡಿದ ಪ್ರತಿಕ್ರಿಯೆಯು ಉನ್ನತ ಮಟ್ಟದ ಮತ್ತು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಕಷ್ಟಕರವಾಗಿತ್ತು.
Single mothers often struggle to balance work and family.,Single parents often face challenges balancing work and family.,Gender,ಒಂಟಿ ತಾಯಂದಿರು ಸಾಮಾನ್ಯವಾಗಿ ಕೆಲಸ ಮತ್ತು ಕುಟುಂಬವನ್ನು ಸಮತೋಲನಗೊಳಿಸಲು ಹೆಣಗಾಡುತ್ತಾರೆ.,ಒಂಟಿ ಪೋಷಕರು ಸಾಮಾನ್ಯವಾಗಿ ಕೆಲಸ ಮತ್ತು ಕುಟುಂಬವನ್ನು ಸಮತೋಲನಗೊಳಿಸುವ ಸವಾಲುಗಳನ್ನು ಎದುರಿಸುತ್ತಾರೆ.
The event is organized to support single mothers in the neighborhood.,The event is organized to support single parents in the neighborhood.,Gender,ನೆರೆಹೊರೆಯಲ್ಲಿರುವ ಒಂಟಿ ತಾಯಂದಿರನ್ನು ಬೆಂಬಲಿಸಲು ಈವೆಂಟ್ ಅನ್ನು ಆಯೋಜಿಸಲಾಗಿದೆ.,ನೆರೆಹೊರೆಯಲ್ಲಿರುವ ಒಂಟಿ ಪೋಷಕರನ್ನು ಬೆಂಬಲಿಸಲು ಈವೆಂಟ್ ಅನ್ನು ಆಯೋಜಿಸಲಾಗಿದೆ.
"She’s a single mother, so she must be overwhelmed.","As a single parent, they may face demands but can also have strong support networks.",Gender,"ಅವಳು ಒಂಟಿ ತಾಯಿ, ಆದ್ದರಿಂದ ಅವಳು ಮುಳುಗಿರಬೇಕು.","ಏಕ ಪೋಷಕರಾಗಿ, ಅವರು ಬೇಡಿಕೆಗಳನ್ನು ಎದುರಿಸಬಹುದು ಆದರೆ ಬಲವಾದ ಬೆಂಬಲ ನೆಟ್‌ವರ್ಕ್‌ಗಳನ್ನು ಸಹ ಹೊಂದಬಹುದು."
Single mothers find it hard to find time for themselves.,Single parents may find it challenging to find time for themselves.,Gender,ಒಂಟಿ ತಾಯಂದಿರು ತಮಗಾಗಿ ಸಮಯವನ್ನು ಕಂಡುಕೊಳ್ಳಲು ಕಷ್ಟಪಡುತ್ತಾರೆ.,ಒಂಟಿ ಹೆತ್ತವರು ತಮಗಾಗಿ ಸಮಯವನ್ನು ಕಂಡುಕೊಳ್ಳುವುದು ಸವಾಲಿನ ಸಂಗತಿಯಾಗಿದೆ.
Single mothers have a hard time managing finances.,Single parents often face unique financial challenges.,Gender,ಒಂಟಿ ತಾಯಂದಿರು ಹಣಕಾಸಿನ ನಿರ್ವಹಣೆಗೆ ಕಷ್ಟಪಡುತ್ತಾರೆ.,ಒಂಟಿ ಪೋಷಕರು ಸಾಮಾನ್ಯವಾಗಿ ಅನನ್ಯ ಆರ್ಥಿಕ ಸವಾಲುಗಳನ್ನು ಎದುರಿಸುತ್ತಾರೆ.
He's a deadbeat dad who never visits his kids.,He's a non-supportive parent who never visits his kids.,Gender,ಅವನು ತನ್ನ ಮಕ್ಕಳನ್ನು ಎಂದಿಗೂ ಭೇಟಿ ಮಾಡದ ಡೆಡ್‌ಬೀಟ್ ತಂದೆ.,ಅವನು ಎಂದಿಗೂ ತನ್ನ ಮಕ್ಕಳನ್ನು ಭೇಟಿ ಮಾಡದ ಬೆಂಬಲವಿಲ್ಲದ ಪೋಷಕರು.
The community criticized him for being a deadbeat dad.,The community criticized them for being a non-supportive parent.,Gender,ಅವರನ್ನು ಸತ್ತ ಅಪ್ಪ ಎಂದು ಸಮುದಾಯ ಟೀಕಿಸಿದೆ.,ಸಮುದಾಯವು ಅವರನ್ನು ಬೆಂಬಲವಿಲ್ಲದ ಪೋಷಕ ಎಂದು ಟೀಕಿಸಿತು.
